Study_ID,Sample_ID,Site,Site_code,Long,Lat,Blank_collection_method,Blank_Type,Sample_Type,Family,Order,Stage,Metamorphosis,Exposure,Stream_Type,Month,Water_Temp,Dissolved_oxygen,Conductivity,Total_Phosphorus,Total_Dissolved_Solids,Total_Suspended_Solids,Ammonia,Total_Organic_Carbon,pH,Dissolved_Nitrogen,Nitrate,Nitrite,Dissolved_Organic_Carbon,Orthophosphate
KK1907,POLFLT_1_Lar_Mayfly_MB_7,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1908,POLFLT_1_Lar_Mayfly_MB_8,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1909,COCH_1_Lar_Chiro_MB_1,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1910,COCH_1_Lar_Chiro_MB_2,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1911,COCH_1_Lar_Chiro_MB_3,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1912,COCH_1_Lar_Chiro_MB_4,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1913,COCH_1_Lar_Chiro_MB_5,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1914,COCH_1_Lar_Chiro_MB_6,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1915,CUSHBR_1_Lar_Chiro_MB_1,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1916,CUSHBR_1_Lar_Chiro_MB_2,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1917,CUSHBR_1_Lar_Chiro_MB_3,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1918,CUSHBR_1_Lar_Chiro_MB_4,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1919,CUSHBR_1_Lar_Chiro_MB_5,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1920,CUSHBR_1_Lar_Chiro_MB_6,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1921,CUSHBR_1_Lar_Chiro_MB_7,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1922,CUSHBR_1_Lar_Chiro_MB_8,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1923,POLFLT_1_Lar_Chiro_MB_1,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1924,POLFLT_1_Lar_Chiro_MB_2,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1925,POLFLT_1_Lar_Chiro_MB_3,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1926,POLFLT_1_Lar_Chiro_MB_4,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1927,POLFLT_1_Lar_Chiro_MB_5,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1928,POLFLT_1_Lar_Chiro_MB_6,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1929,POLFLT_1_Lar_Chiro_MB_7,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1930,POLFLT_1_Lar_Chiro_MB_8,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Chironomidae,Diptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1931,COCH_1_Lar_Stonefly_MB_1,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1932,COCH_1_Lar_Stonefly_MB_2,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1933,COCH_1_Lar_Stonefly_MB_3,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1934,COCH_1_Lar_Stonefly_MB_4,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1935,COCH_1_Lar_Stonefly_MB_5,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1936,COCH_1_Lar_Stonefly_MB_6,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1937,COCH_1_Lar_Stonefly_MB_7,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1938,COCH_1_Lar_Stonefly_MB_8,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1939,CUSHBR_1_Lar_Stonefly_MB_1,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1940,CUSHBR_1_Lar_Stonefly_MB_2,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1941,CUSHBR_1_Lar_Stonefly_MB_3,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1942,CUSHBR_1_Lar_Stonefly_MB_4,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1943,CUSHBR_1_Lar_Stonefly_MB_5,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1944,POLFLT_1_Lar_Stonefly_MB_1,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1945,POLFLT_1_Lar_Stonefly_MB_2,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1946,POLFLT_1_Lar_Stonefly_MB_3,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1947,POLFLT_1_Lar_Stonefly_MB_4,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1948,POLFLT_1_Lar_Stonefly_MB_5,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1949,POLFLT_1_Lar_Stonefly_MB_6,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1950,POLFLT_1_Lar_Stonefly_MB_7,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1951,POLFLT_1_Lar_Stonefly_MB_8,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Perlidae,Plecoptera,Larvae,Hemimetabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1952,CUSHBR_MBDI_RINSE_MB_1,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,Tweezer water rinse,Blank,,,,,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1953,CUSHBR_MBDI_RINSE_MB_2,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,Tweezer water rinse,Blank,,,,,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1954,CUSHBR_MBDI_RINSE_MB_3,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,Tweezer water rinse,Blank,,,,,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1955,ACWA_5%_MBDI_RINSE_MB_1,PCR1,PCR1,-113.992846,50.862417,Water September,Tweezer water rinse,Blank,,,,,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1956,ACWA_5%_MBDI_RINSE_MB_2,PCR1,PCR1,-113.992846,50.862417,Water September,Tweezer water rinse,Blank,,,,,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1957,ACWA_5%_MBDI_RINSE_MB_3,PCR1,PCR1,-113.992846,50.862417,Water September,Tweezer water rinse,Blank,,,,,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1958,ACWA_5%_MB_MESH_1,PCR1,PCR1,-113.992846,50.862417,Mesh,Floating emergence trap,Blank,,,,,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1959,ACWA_5%_MB_MESH_2,PCR1,PCR1,-113.992846,50.862417,Mesh,Floating emergence trap,Blank,,,,,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1960,ACWA_5%_MB_MESH_3,PCR1,PCR1,-113.992846,50.862417,Mesh,Floating emergence trap,Blank,,,,,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1961,ACWA_5%_MB_Lar_Mayfly_1,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1962,ACWA_5%_MB_Lar_Mayfly_2,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1963,ACWA_5%_MB_Lar_Mayfly_3,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1964,ACWA_5%_MB_Lar_Mayfly_4,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1965,ACWA_5%_MB_Lar_Mayfly_5,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1966,ACWA_5%_MB_Lar_Mayfly_6,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1967,ACWA_5%_MB_Lar_Mayfly_7,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1968,ACWA_5%_MB_Lar_Mayfly_8,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1969,ACWA_15%_MB_Lar_Mayfly_1,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1970,ACWA_15%_MB_Lar_Mayfly_2,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1971,ACWA_15%_MB_Lar_Mayfly_3,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1972,ACWA_15%_MB_Lar_Mayfly_4,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1973,ACWA_15%_MB_Lar_Mayfly_5,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1974,ACWA_15%_MB_Lar_Mayfly_6,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1975,ACWA_15%_MB_Lar_Mayfly_7,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1976,ACWA_5%_MB_Ad_Mayfly_1,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1977,ACWA_5%_MB_Ad_Mayfly_2,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1978,ACWA_5%_MB_Ad_Mayfly_3,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1979,ACWA_5%_MB_Ad_Mayfly_4,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1980,ACWA_5%_MB_Ad_Mayfly_5,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1981,ACWA_5%_MB_Ad_Mayfly_6,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1982,ACWA_5%_MB_Ad_Mayfly_7,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1983,ACWA_5%_MB_Ad_Mayfly_8,PCR1,PCR1,-113.992846,50.862417,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1984,ACWA_15%_MB_Ad_Mayfly_1,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1985,ACWA_15%_MB_Ad_Mayfly_2,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1986,ACWA_15%_MB_Ad_Mayfly_3,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1987,ACWA_15%_MB_Ad_Mayfly_4,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1988,ACWA_15%_MB_Ad_Mayfly_5,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1989,ACWA_15%_MB_Ad_Mayfly_6,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1990,ACWA_15%_MB_Ad_Mayfly_7,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1991,ACWA_15%_MB_Ad_Mayfly_8,PCR3,PCR3,-113.991562,50.86084,Mesh,,Sample,Ephemeroptera,Ephemeroptera,Adults,Hemimetabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1992,COCH_MB_Araneid_1,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1993,COCH_MB_Araneid_2,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1994,COCH_MB_Araneid_3,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1995,COCH_MB_Araneid_4,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1996,COCH_MB_Araneid_5,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1997,COCH_MB_Araneid_6,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1998,COCH_MB_Araneid_7,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1999,COCH_MB_Araneid_8,Cochrane,COCH,-114.490806,51.185778,No_blank,,Sample,Araneidae,Araneae,Spiders,,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK2000,GRVBR_MB_Araneid_1,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2001,GRVBR_MB_Araneid_2,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2002,GRVBR_MB_Araneid_3,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2003,GRVBR_MB_Araneid_4,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2004,GRVBR_MB_Araneid_5,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2005,GRVBR_MB_Araneid_6,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2006,GRVBR_MB_Araneid_7,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
KK2007,GRVBR_MB_Araneid_8,Graves Bridge,GRVBR,-114.022,50.98931,No_blank,,Sample,Araneidae,Araneae,Spiders,,Exposed,Bow River,July,,,,,,,,,,,,,,
