Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY-5874	RXN-19361 // RXN-19360 // RXN-19358 // RXN-19359 // BILIVERDIN-REDUCTASE-RXN // HEME-OXYGENASE-DECYCLIZING-RXN	heme degradation I	heme degradation I		BILIRUBIN-BISGLUCURONOSIDE	PROTOHEME	PWY-5874					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	CPD-19720 // CPD-19719 // CPD-19721 // WATER // Ox-NADPH-Hemoprotein-Reductases // CARBON-MONOXIDE // FE+2 // PROTOHEME // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // NADH-P-OR-NOP // BILIVERDINE // NAD-P-OR-NOP // BILIRUBIN // CPD-20932 // BILIRUBIN-BISGLUCURONOSIDE // UDP // UDP-GLUCURONATE // BILIRUBIN-GLUCURONOSIDE	UDP-GLUCURONATE // NADH-P-OR-NOP // PROTON // PROTOHEME // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	RXN-19361 // RXN-19360 // RXN-19358 // RXN-19359 // BILIVERDIN-REDUCTASE-RXN // HEME-OXYGENASE-DECYCLIZING-RXN
PWY-7845	RXN-17523	heme degradation II	heme degradation II		BILIVERDINE	PROTOHEME	PWY-7845					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	WATER // Oxidized-ferredoxins // CARBON-MONOXIDE // FE+2 // BILIVERDINE // PROTOHEME // OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON	PROTOHEME // OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON	RXN-17523
PWY-7848	RXN-18346 // RXN-18347	heme degradation VII	heme degradation VII		CPD-19716 // CPD-19715	PROTOHEME	PWY-7848					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	CPD-19715 // WATER // Acceptor // FE+2 // CPD-19716 // PROTOHEME // Donor-H2 // OXYGEN-MOLECULE // PROTON	PROTOHEME // Donor-H2 // OXYGEN-MOLECULE // PROTON	RXN-18346 // RXN-18347
PWY-7844	RXN-18338 // RXN-18339	heme degradation III	heme degradation III		CPD-19713 // CPD-19714	PROTOHEME	PWY-7844					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	CPD-19714 // WATER // Acceptor // CARBON-MONOXIDE // FE+2 // CPD-19713 // PROTOHEME // OXYGEN-MOLECULE // Donor-H2 // PROTON	PROTOHEME // OXYGEN-MOLECULE // Donor-H2 // PROTON	RXN-18338 // RXN-18339
PWY-7847	RXN-14697 // RXN-14696	heme degradation VI	heme degradation VI		CPD-15535 // CPD-15534	PROTOHEME	PWY-7847					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	CPD-15534 // WATER // Acceptor // FORMALDEHYDE // FE+2 // CPD-15535 // PROTOHEME // Donor-H2 // OXYGEN-MOLECULE // PROTON	PROTOHEME // Donor-H2 // OXYGEN-MOLECULE // PROTON	RXN-14697 // RXN-14696
PWY-7843	RXN-17522	heme degradation IV	heme degradation IV		FE+3	PROTOHEME	PWY-7843					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	Donor-H2 // FE+3 // CARBON-MONOXIDE // CPD-18929 // CPD-18928 // PROTOHEME // HYDROGEN-PEROXIDE // OXYGEN-MOLECULE // PROTON // Acceptor	PROTOHEME // HYDROGEN-PEROXIDE // OXYGEN-MOLECULE // PROTON // Acceptor	RXN-17522
PWY-7846	RXN-18463 // RXN-18464 // RXN-18337	heme degradation V	heme degradation V		CPD-19798 // CPD-19799 // CPD-19710 // FE+2	PROTOHEME	PWY-7846					Heme-Degradation		COFACTOR-DEGRADATION	COFACTOR-DEGRADATION	Oxidized-flavodoxins // FE+2 // ADENOSYL-HOMO-CYS // CH33ADO // MET // S-ADENOSYLMETHIONINE // PROTOHEME // Reduced-flavodoxins // CPD-19799 // PROTON // NADPH // CPD-19710 // CPD-19798 // NADP	NADPH // PROTON // S-ADENOSYLMETHIONINE // PROTOHEME // Reduced-flavodoxins	RXN-18463 // RXN-18464 // RXN-18337
PWY-7142	FORMAMIDASE-RXN // CYANIDE-HYDRATASE-RXN	cyanide detoxification II	cyanide detoxification II				PWY-7142					Cyanide-Detoxification		Cyanide-Detoxification	Cyanide-Detoxification	HCN // AMMONIUM // FORMATE // FORMAMIDE // WATER	WATER // HCN	FORMAMIDASE-RXN // CYANIDE-HYDRATASE-RXN
ASPSYNII-PWY	3.5.5.4-RXN // 3-CYANOALANINE-HYDRATASE-RXN // L-3-CYANOALANINE-SYNTHASE-RXN	cyanide detoxification I	cyanide detoxification I // &beta;-cyanoalanine biosynthesis // asparagine biosynthesis II				ASPSYNII-PWY					Cyanide-Detoxification		Cyanide-Detoxification	Cyanide-Detoxification	HS // CYS // HCN // ASN // L-ASPARTATE // AMMONIUM // PROTON // WATER // CPD-603	WATER // CYS // HCN	3.5.5.4-RXN // 3-CYANOALANINE-HYDRATASE-RXN // L-3-CYANOALANINE-SYNTHASE-RXN
PWY-8270	RXN-22408 // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	cyclic electron flow	cyclic electron flow				PWY-8270					Electron-Transfer // Photosynthesis		Energy-Metabolism	Energy-Metabolism	E- // Plastocyanin-Reduced // Light // Oxidized-Plastocyanins // Plastoquinols // Oxidized-ferredoxins // PROTON // Reduced-ferredoxins // PLASTOQUINONE	Light	RXN-22408 // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
PWY-7117	TRANS-RXN-399 // TRANS-RXN-400 // TRANS-RXN-374 // TRANS-RXN-373 // RXN0-5224 // MALIC-NADP-RXN // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // ALANINE-AMINOTRANSFERASE-RXN // RXN-13698 // MALATE-DEHYDROGENASE-NADP+-RXN // ASPAMINOTRANS-RXN // RXN-13697 // PEPCARBOX-RXN // PEPCARBOXYKIN-RXN	"C4 photosynthetic carbon assimilation cycle, PEPCK type"	"C4 photosynthetic carbon assimilation cycle, PEPCK type // C4 photosynthesis, PEPCK type"				PWY-7117					Photosynthesis		Energy-Metabolism	Energy-Metabolism	ADP // OXALACETIC_ACID // GLT // 2-KETOGLUTARATE // PPI // AMP // Pi // ATP // NADPH // PYRUVATE // NADP // WATER // CARBON-DIOXIDE // HCO3 // PROTON // L-ASPARTATE // MAL // PHOSPHO-ENOL-PYRUVATE // L-ALPHA-ALANINE	WATER // ATP	TRANS-RXN-399 // TRANS-RXN-400 // TRANS-RXN-374 // TRANS-RXN-373 // RXN0-5224 // MALIC-NADP-RXN // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // ALANINE-AMINOTRANSFERASE-RXN // RXN-13698 // MALATE-DEHYDROGENASE-NADP+-RXN // ASPAMINOTRANS-RXN // RXN-13697 // PEPCARBOX-RXN // PEPCARBOXYKIN-RXN
PWY-101	RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN	photosynthesis light reactions	photosynthesis light reactions				PWY-101	PWY-7731 // PWY-7218 // PWY-6886 // PHOTOALL-PWY				Electron-Transfer // Photosynthesis		Energy-Metabolism	Energy-Metabolism	E- // WATER // OXYGEN-MOLECULE // NADPH // NADP // PROTON // PLASTOQUINONE // Plastoquinols // Oxidized-ferredoxins // Plastocyanin-Reduced // Light // Oxidized-Plastocyanins // Reduced-ferredoxins	Light // NADP // WATER	RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
PWY-7115	TRANS-RXN-399 // TRANS-RXN-373 // RXN0-5224 // MALATE-DEH-RXN // 1.1.1.39-RXN // RXN-13698 // RXN-13697 // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // ALANINE-AMINOTRANSFERASE-RXN // ASPAMINOTRANS-RXN // PEPCARBOX-RXN	"C4 photosynthetic carbon assimilation cycle, NAD-ME type"	"C4 photosynthetic carbon assimilation cycle, NAD-ME type // C4 photosynthesis, NAD-ME type"				PWY-7115					Photosynthesis		Energy-Metabolism	Energy-Metabolism	PPI // AMP // PHOSPHO-ENOL-PYRUVATE // Pi // ATP // 2-KETOGLUTARATE // GLT // PYRUVATE // NADH // OXALACETIC_ACID // MAL // NAD // WATER // CARBON-DIOXIDE // HCO3 // PROTON // L-ASPARTATE // L-ALPHA-ALANINE	WATER // ATP	TRANS-RXN-399 // TRANS-RXN-373 // RXN0-5224 // MALATE-DEH-RXN // 1.1.1.39-RXN // RXN-13698 // RXN-13697 // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // ALANINE-AMINOTRANSFERASE-RXN // ASPAMINOTRANS-RXN // PEPCARBOX-RXN
PWY-241	TRANS-RXN0-570 // TRANS-RXN-374 // RXN0-5224 // MALATE-DEHYDROGENASE-NADP+-RXN // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // MALIC-NADP-RXN // PEPCARBOX-RXN	"C4 photosynthetic carbon assimilation cycle, NADP-ME type"	"C4 photosynthetic carbon assimilation cycle, NADP-ME type // PCA cycle // C4 photosynthesis, NADP-ME type"				PWY-241					Photosynthesis		Energy-Metabolism	Energy-Metabolism	PPI // AMP // PHOSPHO-ENOL-PYRUVATE // Pi // ATP // OXALACETIC_ACID // NADPH // NADP // WATER // CARBON-DIOXIDE // HCO3 // PROTON // MAL // PYRUVATE	WATER // ATP	TRANS-RXN0-570 // TRANS-RXN-374 // RXN0-5224 // MALATE-DEHYDROGENASE-NADP+-RXN // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // MALIC-NADP-RXN // PEPCARBOX-RXN
PWY-8086	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // FHLMULTI-RXN // PYRUVFORMLY-RXN // L-LACTATE-DEHYDROGENASE-RXN // PYRUVATE-CARBOXYLASE-RXN // RXN-19738 // MALATE-DEH-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN	"(<i>S</i>)-lactate fermentation to propanoate, acetate and hydrogen"	"(<i>S</i>)-lactate fermentation to propanoate, acetate and hydrogen"				PWY-8086					Fermentation-to-propanoate		Energy-Metabolism	Energy-Metabolism	E- // Oxidized-ferredoxins // Reduced-ferredoxins // WATER // Menaquinones // Menaquinols // FUM // PROPIONATE // SUC // SUC-COA // METHYL-MALONYL-COA // MAL // NA+ // PROPIONYL-COA // D-METHYL-MALONYL-COA // OXALACETIC_ACID // HCO3 // NADH // L-LACTATE // NAD // PYRUVATE // HYDROGEN-MOLECULE // CARBON-DIOXIDE // PROTON // FORMATE // CO-A // Pi // ACETYL-COA // ACETYL-P // ADP // ATP // ACET	L-LACTATE // HCO3 // Menaquinols	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // FHLMULTI-RXN // PYRUVFORMLY-RXN // L-LACTATE-DEHYDROGENASE-RXN // PYRUVATE-CARBOXYLASE-RXN // RXN-19738 // MALATE-DEH-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN
PWY-6583	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN	pyruvate fermentation to butanol I	pyruvate fermentation to butanol I // pyruvic acid fermentation to butanol I				PWY-6583	PWY-6594 // PWY-7003				Alcohol-Biosynthesis // Pyruvate-Butanol-Fermentation		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // NADH-P-OR-NOP // NAD-P-OR-NOP // NADPH // BUTANAL // BUTANOL // NADP // ACETOACETYL-COA // PROTON // CARBON-DIOXIDE // ACETYL-COA // PYRUVATE // CO-A // WATER // S-3-HYDROXYBUTANOYL-COA // Oxidized-ferredoxins // NADH // CROTONYL-COA // BUTYRYL-COA // NAD // Reduced-ferredoxins	NADH // Oxidized-ferredoxins // PYRUVATE // NADPH // NADH-P-OR-NOP	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7385	GLUCOKIN-RXN // PGLUCISOM-RXN // RXN0-7077 // RXN0-6487 // GLYCEROL-DEHYDRATASE-RXN // 1.1.1.8-RXN // RXN-14965 // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN	"1,3-propanediol biosynthesis (engineered)"	"1,3-propanediol biosynthesis (engineered) // 1,3-PDO biosynthesis"				PWY-7385					Alcohol-Biosynthesis		Energy-Metabolism	Energy-Metabolism	GAP // FRUCTOSE-16-DIPHOSPHATE // Pi // NADH // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P // NAD // WATER // GLYCEROL // NADPH // HYDROXYPROPANAL // CPD-347 // NADP // D-Glucose // FRUCTOSE-6P // ALPHA-GLC-6-P // PROTON // ADP // D-glucopyranose-6-phosphate // Glucopyranose // ATP	Glucopyranose // ATP // ALPHA-GLC-6-P // NADPH // NADH	GLUCOKIN-RXN // PGLUCISOM-RXN // RXN0-7077 // RXN0-6487 // GLYCEROL-DEHYDRATASE-RXN // 1.1.1.8-RXN // RXN-14965 // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN
PWY-6883	RXN-11667 // RXN-11662 // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // RXN-12558 // ACETYL-COA-ACETYLTRANSFER-RXN	pyruvate fermentation to butanol II (engineered)	pyruvate fermentation to butanol II (engineered) // 1-butanol synthesis // pyruvic acid fermentation to butanol II (engineered)				PWY-6883	PWY-6886				Alcohol-Biosynthesis // Pyruvate-Butanol-Fermentation		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // ACETYL-COA // NADH-P-OR-NOP // BUTYRYL-COA // CO-A // NAD-P-OR-NOP // BUTANAL // BUTANOL // PROTON // NADH // ACETOACETYL-COA // NAD // CROTONYL-COA // WATER // S-3-HYDROXYBUTANOYL-COA	NADH // PROTON // NADH-P-OR-NOP // ACETYL-COA	RXN-11667 // RXN-11662 // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // RXN-12558 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7396	3-ETHYLMALATE-SYNTHASE-RXN // 1.4.3.19-RXN // RXN-7657 // RXN-7643 // RXN-14984 // RXN-161 // RXN-14985 // RXN-14986	butanol and isobutanol biosynthesis (engineered)	butanol and isobutanol biosynthesis (engineered)				PWY-7396					Alcohol-Biosynthesis		Energy-Metabolism	Energy-Metabolism	CPD-19492 // CPD-12279 // BUTANAL // BUTANOL // CPD-3618 // CARBON-DIOXIDE // 2-KETO-ISOVALERATE // NADH // CPD-7000 // ISOBUTANOL // NAD // HYDROGEN-PEROXIDE // AMMONIUM // GLY // OXYGEN-MOLECULE // PROTON // CO-A // CPD-1130 // BUTYRYL-COA // GLYOX // WATER	BUTYRYL-COA // WATER // GLY // OXYGEN-MOLECULE	3-ETHYLMALATE-SYNTHASE-RXN // 1.4.3.19-RXN // RXN-7657 // RXN-7643 // RXN-14984 // RXN-161 // RXN-14985 // RXN-14986
P301-PWY	R261-RXN	galena oxidation	galena oxidation // oxidation of galena				P301-PWY					CHEMOAUTOTROPHIC-ENERGY-METABOLISM		Energy-Metabolism	Energy-Metabolism	HS // CPD-530 // SULFATE // CPD-527 // PROTON	SULFATE // CPD-527 // PROTON	R261-RXN
P282-PWY	R247-RXN	nitrite oxidation	nitrite oxidation				P282-PWY					CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // WATER // NITRITE // Cytochromes-C-Oxidized // Cytochromes-C-Reduced // PROTON // NITRATE	Cytochromes-C-Oxidized // NITRITE // WATER	R247-RXN
P283-PWY	RXN0-4141	hydrogen oxidation I (aerobic)	hydrogen oxidation I (aerobic)				P283-PWY					Hydrogen-Oxidation		Energy-Metabolism	Energy-Metabolism	Donor-H2 // HYDROGEN-MOLECULE // Acceptor	HYDROGEN-MOLECULE // Acceptor	RXN0-4141
PWY-6512	1.12.1.3-RXN	"hydrogen oxidation III (anaerobic, NADP)"	"hydrogen oxidation III (anaerobic, NADP)"				PWY-6512					Hydrogen-Oxidation		Energy-Metabolism	Energy-Metabolism	PROTON // NADPH // NADP // HYDROGEN-MOLECULE	NADP // HYDROGEN-MOLECULE	1.12.1.3-RXN
PWY-5382	HYDROGEN-DEHYDROGENASE-RXN	"hydrogen oxidation II (aerobic, NAD)"	"hydrogen oxidation II (aerobic, NAD)"				PWY-5382					Hydrogen-Oxidation		Energy-Metabolism	Energy-Metabolism	PROTON // NADH // NAD // HYDROGEN-MOLECULE	NAD // HYDROGEN-MOLECULE	HYDROGEN-DEHYDROGENASE-RXN
PWY-6530	RXN-11498 // 1.13.11.49-RXN	perchlorate reduction	perchlorate reduction				PWY-6530					ANAEROBIC-RESPIRATION		Energy-Metabolism	Energy-Metabolism	OXYGEN-MOLECULE // CL- // Acceptor // WATER // CHLORITE // CPD0-1385 // Donor-H2	CPD0-1385 // Donor-H2	RXN-11498 // 1.13.11.49-RXN
PWY0-1348	DIMESULFREDUCT-RXN // RXN0-5388	NADH to dimethyl sulfoxide electron transfer	NADH to dimethyl sulfoxide electron transfer				PWY0-1348					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // NAD // PROTON // NADH // DMSO // Menaquinols // Menaquinones // WATER // CPD-7670	DMSO // NADH	DIMESULFREDUCT-RXN // RXN0-5388
PWY0-1356	DIMESULFREDUCT-RXN // FORMATEDEHYDROG-RXN	formate to dimethyl sulfoxide electron transfer	formate to dimethyl sulfoxide electron transfer				PWY0-1356					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // PROTON // CARBON-DIOXIDE // FORMATE // DMSO // Menaquinols // Menaquinones // WATER // CPD-7670	DMSO // FORMATE	DIMESULFREDUCT-RXN // FORMATEDEHYDROG-RXN
PWY0-1577	RXN0-7399 // DIMESULFREDUCT-RXN	hydrogen to dimethyl sulfoxide electron transfer	hydrogen to dimethyl sulfoxide electron transfer				PWY0-1577					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // DMSO // WATER // CPD-7670 // Menaquinols // PROTON // Menaquinones // HYDROGEN-MOLECULE	HYDROGEN-MOLECULE // DMSO	RXN0-7399 // DIMESULFREDUCT-RXN
PWY-6529	1.13.11.49-RXN // 1.97.1.1-RXN	chlorate reduction	chlorate reduction				PWY-6529					ANAEROBIC-RESPIRATION		Energy-Metabolism	Energy-Metabolism	PROTON // Acceptor // WATER // CHLORATE // Donor-H2 // CHLORITE // OXYGEN-MOLECULE // CL-	CHLORATE // Donor-H2	1.13.11.49-RXN // 1.97.1.1-RXN
PWY0-1582	R601-RXN // RXN-15740	glycerol-3-phosphate to fumarate electron transfer	glycerol-3-phosphate to fumarate electron transfer				PWY0-1582					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // PROTON // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P // SUC // Menaquinones // Menaquinols // FUM	FUM // GLYCEROL-3P	R601-RXN // RXN-15740
PWY0-1347	RXN0-5264 // RXN0-5388	NADH to trimethylamine <i>N</i>-oxide electron transfer	NADH to trimethylamine <i>N</i>-oxide electron transfer				PWY0-1347					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // NAD // NADH // Menaquinones // TRIMETHYLAMINE // WATER // TRIMETHYLAMINE-N-O // PROTON // Menaquinols	TRIMETHYLAMINE-N-O // NADH	RXN0-5264 // RXN0-5388
PWY0-1355	RXN0-5264 // FORMATEDEHYDROG-RXN	formate to trimethylamine <i>N</i>-oxide electron transfer	formate to trimethylamine <i>N</i>-oxide electron transfer				PWY0-1355					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // CARBON-DIOXIDE // FORMATE // Menaquinones // TRIMETHYLAMINE // WATER // TRIMETHYLAMINE-N-O // PROTON // Menaquinols	TRIMETHYLAMINE-N-O // FORMATE	RXN0-5264 // FORMATEDEHYDROG-RXN
PWY0-1576	RXN0-7399 // R601-RXN	hydrogen to fumarate electron transfer	hydrogen to fumarate electron transfer				PWY0-1576					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // SUC // FUM // Menaquinols // PROTON // Menaquinones // HYDROGEN-MOLECULE	HYDROGEN-MOLECULE // FUM	RXN0-7399 // R601-RXN
PWY0-1585	RXN-18605 // RXN-18604 // FORMATEDEHYDROG-RXN	formate to nitrite electron transfer	formate to nitrite electron transfer				PWY0-1585					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // CARBON-DIOXIDE // FORMATE // Menaquinones // Menaquinols // AMMONIUM // an-oxidized-NrfB-protein // WATER // NITRITE // a-reduced-NrfB-protein // PROTON	NITRITE // FORMATE	RXN-18605 // RXN-18604 // FORMATEDEHYDROG-RXN
PWY0-1336	R601-RXN // RXN0-5388	NADH to fumarate electron transfer	NADH to fumarate electron transfer				PWY0-1336					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // NAD // PROTON // NADH // SUC // Menaquinones // Menaquinols // FUM	FUM // NADH	R601-RXN // RXN0-5388
PWY-4601	1.20.99.1-RXN	arsenate reduction (respiratory)	arsenate reduction (respiratory)				PWY-4601					ANAEROBIC-RESPIRATION		Energy-Metabolism	Energy-Metabolism	PROTON // Donor-H2 // ARSENATE // CPD0-2040 // Acceptor // WATER	ARSENATE // Donor-H2 // PROTON	1.20.99.1-RXN
PWY0-1578	RXN0-7399 // RXN0-5264	hydrogen to trimethylamine N-oxide electron transfer	hydrogen to trimethylamine N-oxide electron transfer				PWY0-1578					ANAEROBIC-RESPIRATION // Electron-Transfer		Energy-Metabolism	Energy-Metabolism	E- // TRIMETHYLAMINE // WATER // TRIMETHYLAMINE-N-O // Menaquinols // PROTON // Menaquinones // HYDROGEN-MOLECULE	HYDROGEN-MOLECULE // TRIMETHYLAMINE-N-O	RXN0-7399 // RXN0-5264
PWY-5250	RXN-8103 // RXN-8102	methanogenesis from trimethylamine	methanogenesis from trimethylamine				PWY-5250	PWY-6830				METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	DIMETHYLAMINE // TRIMETHYLAMINE // PROTON // MttC-Proteins // Me-CoM // Methylated-MttC-Proteins // CoM	CoM // TRIMETHYLAMINE	RXN-8103 // RXN-8102
PWY-8107	RXN-21057 // RXN-21056	methanogenesis from glycine betaine	methanogenesis from glycine betaine				PWY-8107					METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	DIMETHYL-GLYCINE // BETAINE // PROTON // CoI-MtgC-Proteins // Me-CoM // Methylated-MtgC-Proteins // CoM	CoM // BETAINE	RXN-21057 // RXN-21056
METHFORM-PWY	METHYL-COM-HTP-RXN	methyl-coenzyme M reduction to methane	methyl-coenzyme M reduction to methane // methane formation from methanol // methanogenesis				METHFORM-PWY	PWY-6830				METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	CH4 // CPD-1282 // Me-CoM // CPD-1281	Me-CoM // CPD-1281	METHYL-COM-HTP-RXN
PWY-5248	RXN-8101 // RXN-8100	methanogenesis from dimethylamine	methanogenesis from dimethylamine				PWY-5248	PWY-6830				METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	METHYLAMINE // DIMETHYLAMINE // PROTON // MtbC-Proteins // Me-CoM // Methylated-MtbC-Proteins // CoM	CoM // DIMETHYLAMINE	RXN-8101 // RXN-8100
PWY-5259	RXN-8128 // RXN-8126	methanogenesis from methanethiol	methanogenesis from methanethiol				PWY-5259					METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	PROTON // Me-CoM // CoM // CPD-846 // Methylated-MtsB-Proteins // CPD-7671 // MtsB-Proteins	CPD-7671 // CoM	RXN-8128 // RXN-8126
METHANOGENESIS-PWY	H2-METHYLENE-THMPT-DEHYDRO-RXN // 2.1.1.86-RXN // METHELENE-THMPT-OXI-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN	methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>	methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>				METHANOGENESIS-PWY	PWY-6830				METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	CARBON-DIOXIDE // Reduced-ferredoxins // Oxidized-ferredoxins // Methanofurans // Formyl-methanofurans // FORMYL-THMPT // WATER // Reduced-Factor-F420 // Oxidized-Factor-F420 // NA+ // THMPT // Me-CoM // CoM // METHYL-THMPT // PROTON // METHYLENETETRAHYDROMETHANOPTERIN // METHENYLTETRAHYDROMETHANOPTERIN // HYDROGEN-MOLECULE	HYDROGEN-MOLECULE // CoM // Reduced-Factor-F420 // Reduced-ferredoxins // CARBON-DIOXIDE	H2-METHYLENE-THMPT-DEHYDRO-RXN // 2.1.1.86-RXN // METHELENE-THMPT-OXI-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN
PWY-5247	RXN-8099 // RXN-8098	methanogenesis from methylamine	methanogenesis from methylamine				PWY-5247	PWY-6830				METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	AMMONIUM // METHYLAMINE // PROTON // MtmC-Proteins // Me-CoM // Methylated-MtmC-Proteins // CoM	CoM // METHYLAMINE	RXN-8099 // RXN-8098
PWY-5261	RXN-8133 // RXN-8132	methanogenesis from tetramethylammonium	methanogenesis from tetramethylammonium				PWY-5261					METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	TRIMETHYLAMINE // CPD-7679 // PROTON // MtqC-Proteins // Me-CoM // Methylated-MtqC-Proteins // CoM	CoM // CPD-7679	RXN-8133 // RXN-8132
METH-ACETATE-PWY	1.2.7.4-RXN // RXN-12908 // ACETYLSYNCLTH-RXN // MTRMBARK-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN	methanogenesis from acetate	methanogenesis from acetate // aceticlastic pathway // aceticlastic methanogenesis // acetoclastic methanogenesis // methanogenesis from acetic acid				METH-ACETATE-PWY	PWY-6830				METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	ADP // ATP // ACET // ACETYL-P // Pi // CoM // Me-CoM // CO-A // ACETYL-COA // CPD-9 // CoI-Corrinoid-Fe-S-proteins // Methylated-corrinoid-Fe-S-Proteins // CPD-8 // PROTON // Reduced-ferredoxins // CARBON-DIOXIDE // CARBON-MONOXIDE // WATER // Oxidized-ferredoxins	WATER // Oxidized-ferredoxins // CoM // ATP // ACET	1.2.7.4-RXN // RXN-12908 // ACETYLSYNCLTH-RXN // MTRMBARK-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN
