Study_ID	Site	Site_code	Sample_Type	Family	Order	Stage	Exposure	Stream_Type	Month
KK2096	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2097	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2098	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2099	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2100	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2101	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2102	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2103	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2104	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2105	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2106	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2107	Graves Bridge	GRVBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2108	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2109	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2110	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2111	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2112	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2113	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2114	Graves Bridge	GRVBR	Sample	Trichoptera	Trichoptera	Adults	Exposed	Bow River	July
KK2116	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2117	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2118	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2119	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2120	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2121	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2122	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2123	Sunalta	SUN	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2124	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2125	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2126	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2127	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2128	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2129	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2130	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2131	Sunalta	SUN	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2132	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2133	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2134	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2135	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2136	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2137	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2138	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2139	Cushing Bridge	CUSHBR	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2140	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2141	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2142	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2143	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2144	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2145	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2146	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2147	Cushing Bridge	CUSHBR	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2148	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2149	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2150	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2151	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2152	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2153	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2154	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2155	Cushing Bridge	CUSHBR	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2156	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2157	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2158	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2159	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2160	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2161	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2162	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2163	Policeman Flats	PMF	Sample	Diptera	Diptera	Adults	Exposed	Bow River	July
KK2164	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2165	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2166	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2167	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2168	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2169	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2170	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
KK2171	Policeman Flats	PMF	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	Bow River	July
